model,feature_set,accuracy,precision,recall,f1,roc_auc
Style + Random Forest,all_stylometric,0.955,0.955,0.955,0.955,0.98645
Style + Logistic Regression,all_stylometric,0.945,0.9405940594059405,0.95,0.945273631840796,0.9854999999999999
Style + Random Forest,surface_length,0.9425,0.927536231884058,0.96,0.9434889434889435,0.9840249999999999
Style + Logistic Regression,surface_length,0.9425,0.9447236180904522,0.94,0.9423558897243107,0.9832000000000001
TF-IDF + all stylometric + Logistic Regression,hybrid_all,0.935,0.935,0.935,0.935,0.9795
Style + Random Forest,lexical_choice,0.87,0.8627450980392157,0.88,0.8712871287128713,0.9346125
Style + Logistic Regression,lexical_choice,0.8625,0.8403755868544601,0.895,0.8668280871670703,0.9256500000000001
TF-IDF + Linear SVM,tfidf_only,0.81,0.7924528301886793,0.84,0.8155339805825242,0.879775
TF-IDF + Logistic Regression,tfidf_only,0.8025,0.7813953488372093,0.84,0.8096385542168675,0.875625
Style + Random Forest,punctuation,0.795,0.7892156862745098,0.805,0.7970297029702971,0.8849
Style + Random Forest,readability,0.7275,0.7309644670050761,0.72,0.72544080604534,0.791975
Style + Random Forest,orthography,0.7125,0.7073170731707317,0.725,0.7160493827160493,0.777175
TF-IDF + Complement Naive Bayes,tfidf_only,0.6075,0.5723905723905723,0.85,0.6841046277665996,0.7299
Style + Logistic Regression,punctuation,0.59,0.5743801652892562,0.695,0.6289592760180995,0.557475
Style + Logistic Regression,orthography,0.5975,0.5874439461883408,0.655,0.6193853427895981,0.6101375
Style + Logistic Regression,readability,0.5475,0.5482233502538071,0.54,0.5440806045340051,0.5739000000000001
